ID,Std-NIS,NIS,school,fullName,email,gender,grade,POB,birth,age,caturWulan,subjects,midTest,finalTest,mean,finalScore
1,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,1,Math,95,82,88.5,A
2,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,2,Math,66,76,71.0,B
3,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,3,Math,59,84,71.5,B
4,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,1,Science,71,75,73.0,B
5,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,2,Science,77,90,83.5,B
6,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,3,Science,58,82,70.0,B
7,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,1,Social,89,65,77.0,B
8,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,2,Social,99,94,96.5,A
9,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,3,Social,70,87,78.5,B
10,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,1,Bahasa,87,57,72.0,B
11,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,2,Bahasa,87,52,69.5,B
12,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,3,Bahasa,54,89,71.5,B
13,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,1,English,89,90,89.5,A
14,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,2,English,96,58,77.0,B
15,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,3,English,74,58,66.0,C
16,Std001-Coklat,Std001,SD Coklat,Ika Tiara Alatas,i.alatas@sekolah.edu.id,F,6,Pariaman,2011-01-05,13,1,Religion,92,50,71.0,B
