NIS,school,fullName,gender,grade,POB,birth,age,caturWulan,subjects,midTest,finalTest,mean,finalScore
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,1,Math,95,82,88.5,A
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,2,Math,66,76,71.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,3,Math,59,84,71.5,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,1,Science,71,75,73.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,2,Science,77,90,83.5,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,3,Science,58,82,70.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,1,Social,89,65,77.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,2,Social,99,94,96.5,A
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,3,Social,70,87,78.5,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,1,Bahasa,87,57,72.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,2,Bahasa,87,52,69.5,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,3,Bahasa,54,89,71.5,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,1,English,89,90,89.5,A
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,2,English,96,58,77.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,3,English,74,58,66.0,C
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,1,Religion,92,50,71.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,2,Religion,81,67,74.0,B
Std001,SD Coklat,Ika Tiara Alatas,F,6,Pariaman,2011-01-05,13,3,Religion,77,79,78.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,1,Math,95,63,79.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,2,Math,77,98,87.5,A
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,3,Math,61,98,79.5,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,1,Science,81,55,68.0,C
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,2,Science,92,74,83.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,3,Science,91,89,90.0,A
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,1,Social,64,98,81.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,2,Social,89,84,86.5,A
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,3,Social,96,77,86.5,A
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,1,Bahasa,64,62,63.0,C
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,2,Bahasa,64,90,77.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,3,Bahasa,72,96,84.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,1,English,96,52,74.0,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,2,English,59,90,74.5,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,3,English,68,77,72.5,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,1,Religion,60,89,74.5,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,2,Religion,84,65,74.5,B
Std002,SD Coklat,Indira Vivian Tambayong,F,6,Surakarta,2011-04-07,12,3,Religion,96,97,96.5,A
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,1,Math,81,78,79.5,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,2,Math,56,92,74.0,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,3,Math,56,56,56.0,C
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,1,Science,60,72,66.0,C
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,2,Science,87,85,86.0,A
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,3,Science,90,93,91.5,A
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,1,Social,91,96,93.5,A
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,2,Social,73,100,86.5,A
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,3,Social,60,65,62.5,C
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,1,Bahasa,51,82,66.5,C
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,2,Bahasa,59,75,67.0,C
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,3,Bahasa,78,63,70.5,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,1,English,75,60,67.5,C
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,2,English,73,76,74.5,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,3,English,50,93,71.5,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,1,Religion,85,67,76.0,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,2,Religion,93,70,81.5,B
Std003,SD Coklat,Ira Iqbal Wisesa,F,6,Yogyakarta,2011-07-16,12,3,Religion,63,53,58.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,1,Math,50,74,62.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,2,Math,95,86,90.5,A
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,3,Math,66,58,62.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,1,Science,51,77,64.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,2,Science,71,74,72.5,B
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,3,Science,82,62,72.0,B
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,1,Social,65,54,59.5,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,2,Social,67,63,65.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,3,Social,88,58,73.0,B
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,1,Bahasa,50,72,61.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,2,Bahasa,82,50,66.0,C
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,3,Bahasa,96,80,88.0,A
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,1,English,89,61,75.0,B
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,2,English,86,100,93.0,A
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,3,English,98,71,84.5,A
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,1,Religion,58,86,72.0,B
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,2,Religion,81,75,78.0,B
Std004,SD Coklat,Wa Ode Lucky Palaar,F,6,Banjar,2011-01-09,13,3,Religion,71,50,60.5,C
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,1,Math,59,99,79.0,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,2,Math,99,81,90.0,A
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,3,Math,85,52,68.5,C
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,1,Science,88,73,80.5,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,2,Science,96,78,87.0,A
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,3,Science,50,71,60.5,C
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,1,Social,90,86,88.0,A
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,2,Social,64,77,70.5,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,3,Social,86,90,88.0,A
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,1,Bahasa,77,98,87.5,A
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,2,Bahasa,78,76,77.0,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,3,Bahasa,79,69,74.0,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,1,English,63,53,58.0,C
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,2,English,100,51,75.5,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,3,English,61,97,79.0,B
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,1,Religion,56,60,58.0,C
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,2,Religion,62,68,65.0,C
Std005,SD Coklat,Maxi Burhan Sigarlaki,M,6,Tual,2011-05-05,12,3,Religion,56,75,65.5,C
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,1,Math,58,84,71.0,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,2,Math,69,75,72.0,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,3,Math,93,71,82.0,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,1,Science,71,59,65.0,C
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,2,Science,95,65,80.0,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,3,Science,86,65,75.5,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,1,Social,86,53,69.5,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,2,Social,61,71,66.0,C
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,3,Social,91,66,78.5,B
Std006,SD Coklat,Dilan Carlos Manalu,M,6,Magelang,2011-08-26,12,1,Bahasa,88,57,72.5,B
