NIS,school,fullName,gender,grade,POB,birth,age,caturWulan,subjects,midTest,finalTest,mean,finalScore
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,1,Math,91,74,82.5,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,2,Math,98,68,83.0,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,3,Math,96,68,82.0,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,1,Science,61,84,72.5,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,2,Science,76,53,64.5,C
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,3,Science,90,74,82.0,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,1,Social,89,55,72.0,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,2,Social,86,100,93.0,A
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,3,Social,75,51,63.0,C
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,1,Bahasa,50,89,69.5,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,2,Bahasa,98,89,93.5,A
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,3,Bahasa,67,67,67.0,C
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,1,English,51,96,73.5,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,2,English,65,56,60.5,C
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,3,English,92,79,85.5,A
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,1,Religion,85,66,75.5,B
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,2,Religion,83,88,85.5,A
Std001,SD Jingga,Julie Helena Saad,F,6,Subulussalam,2011-04-02,12,3,Religion,62,54,58.0,C
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,1,Math,83,69,76.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,2,Math,95,57,76.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,3,Math,68,94,81.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,1,Science,83,65,74.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,2,Science,79,65,72.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,3,Science,79,64,71.5,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,1,Social,58,75,66.5,C
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,2,Social,70,81,75.5,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,3,Social,82,87,84.5,A
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,1,Bahasa,77,75,76.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,2,Bahasa,75,92,83.5,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,3,Bahasa,70,94,82.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,1,English,85,54,69.5,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,2,English,72,62,67.0,C
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,3,English,86,99,92.5,A
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,1,Religion,79,71,75.0,B
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,2,Religion,55,81,68.0,C
Std002,SD Jingga,Lukas Gibran Perkasa,M,6,Kediri,2010-01-24,14,3,Religion,81,95,88.0,A
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,1,Math,50,71,60.5,C
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,2,Math,82,83,82.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,3,Math,58,79,68.5,C
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,1,Science,93,71,82.0,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,2,Science,74,100,87.0,A
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,3,Science,83,62,72.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,1,Social,77,91,84.0,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,2,Social,51,88,69.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,3,Social,60,79,69.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,1,Bahasa,52,85,68.5,C
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,2,Bahasa,76,85,80.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,3,Bahasa,92,54,73.0,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,1,English,95,58,76.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,2,English,90,64,77.0,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,3,English,68,69,68.5,C
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,1,Religion,70,97,83.5,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,2,Religion,67,91,79.0,B
Std003,SD Jingga,Karel Mas Agus Sigar,M,6,Surakarta,2010-07-13,13,3,Religion,54,87,70.5,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,1,Math,87,50,68.5,C
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,2,Math,93,100,96.5,A
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,3,Math,59,54,56.5,C
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,1,Science,81,76,78.5,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,2,Science,97,93,95.0,A
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,3,Science,90,50,70.0,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,1,Social,86,62,74.0,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,2,Social,74,86,80.0,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,3,Social,86,87,86.5,A
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,1,Bahasa,100,65,82.5,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,2,Bahasa,87,67,77.0,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,3,Bahasa,73,87,80.0,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,1,English,80,98,89.0,A
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,2,English,95,56,75.5,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,3,English,69,72,70.5,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,1,Religion,77,71,74.0,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,2,Religion,93,66,79.5,B
Std004,SD Jingga,Embun Vivi Al Habsy,F,6,Banjarbaru,2010-09-21,13,3,Religion,97,68,82.5,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,1,Math,56,88,72.0,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,2,Math,70,95,82.5,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,3,Math,65,91,78.0,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,1,Science,94,70,82.0,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,2,Science,50,66,58.0,C
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,3,Science,69,98,83.5,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,1,Social,53,83,68.0,C
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,2,Social,57,83,70.0,B
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,3,Social,73,98,85.5,A
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,1,Bahasa,62,52,57.0,C
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,2,Bahasa,93,80,86.5,A
Std005,SD Jingga,Indira Glory Ambarita,F,6,Palopo,2011-05-14,12,3,Bahasa,90,75,82.5,B
