NIS,school,fullName,gender,grade,POB,birth,age,caturWulan,subjects,midTest,finalTest,mean,finalScore
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,1,Math,90,67,78.5,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,2,Math,51,97,74.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,3,Math,99,61,80.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,1,Science,78,78,78.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,2,Science,70,62,66.0,C
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,3,Science,91,61,76.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,1,Social,90,53,71.5,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,2,Social,96,54,75.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,3,Social,68,52,60.0,C
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,1,Bahasa,64,79,71.5,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,2,Bahasa,96,72,84.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,3,Bahasa,50,80,65.0,C
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,1,English,98,55,76.5,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,2,English,71,77,74.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,3,English,72,68,70.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,1,Religion,75,91,83.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,2,Religion,77,83,80.0,B
Std001,SD Ungu,Mirza Patria Budiman,M,6,Tangerang,2009-09-18,14,3,Religion,58,50,54.0,C
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,1,Math,67,90,78.5,B
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,2,Math,76,78,77.0,B
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,3,Math,65,75,70.0,B
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,1,Science,98,70,84.0,B
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,2,Science,99,55,77.0,B
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,3,Science,59,65,62.0,C
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,1,Social,71,52,61.5,C
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,2,Social,73,91,82.0,B
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,3,Social,95,83,89.0,A
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,1,Bahasa,77,92,84.5,A
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,2,Bahasa,86,50,68.0,C
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,3,Bahasa,100,94,97.0,A
Std002,SD Ungu,Hannah Olga Basri,F,6,Cimahi,2009-05-24,14,1,English,98,68,83.0,B
